"riactivityId","affiliationName","countryName","riactivityType"
"docdbRS20100367A2","ISAFLEX D O O ","Serbia","Patent"
"CORDIS-197975","FOUNDATION FOR MANAGEMENT AND INDUSTRIAL RESEARCH SKOPJE","Macedonia","H2020"
"docdbRS20090143A","University of Novi Sad","Serbia","Patent"
"docdbWO2008111865A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2010143989A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20130127A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-210276","PRIVREDNA KOMORA CRNE GORE PODGORICA","Montenegro","H2020"
"docdbRS20110372A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2007115340A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2552348A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS20050353A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2011069180A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060433A","Individual applicant (Serbia)","Serbia","Patent"
"552716-CREA-1-2014-1-MK-CULT-LIT1","DRUSTVO ZA IZDAVACKA DEJNOST PROIZVODSTVO PROMET I USLUGI MAGOR PAVLINA I DRUGI DOO UVOZ-IZVOZ SKOPJE","Macedonia","Creative Europe"
"CORDIS-200855","University of Belgrade","Serbia","H2020"
"docdbAT537392T","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2015223399A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbGB2528277A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2013168046A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-95923","UNIVERZITET U BANJOJ LUCI ELEKTROTEHNICKI FAKULTET","Bosnia and Herzegovina","FP7"
"EUREKA-Network_Projects-1909","University of Belgrade","Serbia","Eureka"
"docdbUS2013191715A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060258A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2013332460A1","Individual applicant (Serbia)","Serbia","Patent"
